Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (IDR),Impressions,Impressions click-through rate (%)
Total,,,,126312,"60910,0383",441,"3025426,358",1405877,"6,17"
seNvo62vmK4,Filsafat Jawa: Kenapa Semar Adalah Cermin Tuhan?,"Jul 17, 2026",6392,37011,"16727,1617",178,"893533,535",611655,"4,92"
wbjG6rNxJ_E,Menghadapi Zaman Edan: Rahasia Ronggowarsito Agar Jiwa Tetap Waras,"Jul 24, 2026",5926,7869,"4275,7905",20,"187196,017",91510,"6,73"
CU_GY9k2xDc,Jangan Sampai Kebencian Orang Lain Tinggal di Dalam Dirimu,"Jul 3, 2026",6761,6690,"4120,8355",26,"254533,92",77466,"6,6"
xVaguG1D8ps,Guru Sejati: Cara Mendengar Suara Hati di Tengah Kebisingan Dunia,"Jul 31, 2026",6080,5616,"3530,0312",16,"170732,081",61042,"7,34"
BeiVcg-VKUU,Retakan Itu Emas: Belajar dari Kintsugi untuk Sembuh dari Luka Masa Lalu,"Aug 12, 2026",6387,5259,"3166,114",18,"169297,498",46472,"9,83"
4jaKc6WPkpU,Kenapa Kita Sering Cemas? Imam Syafi'i Menjawab,"Jul 26, 2026",7112,5223,"3523,1839",11,"190923,536",56575,"7,27"
Xok-EdMIfIE,Umar bin Khattab & Rahasia Hidup Tenang di Tengah Kekuasaan,"Jul 19, 2026",6931,5082,"3284,68",12,"151653,753",61339,"6,65"
7q66_IGr0aI,Kenapa Sering Cemas dalam Hubungan? - Paradoks Pernikahan,"Jul 15, 2026",6481,3210,"1564,2997",12,"118291,621",39425,"6,06"
N6iZ1UarhUE,Jengis Khan & Rahasia Kepemimpinan: Kenapa Kamu Harus Menaklukkan Egomu?,"Aug 2, 2026",6373,3186,"1885,2948",7,"71945,597",35558,"6,75"
9XZj0dX6dSM,Kenapa Sahabat Terbaikmu Justru Hadir dalam Keheningan? Konfusius Menjawab,"Jul 5, 2026",6625,3127,"2042,7332",4,"105335,108",28338,"7,85"
JRYPhBArOFM,Rasa Hampa Itu Karena Kamu Terlalu Ambisius — Belajarlah dari Filosofi Ikiga,"Jul 29, 2026",6750,3053,"1925,514",5,"87955,741",35752,"6,88"
HoWtI-zIJtU,Berhenti Mengejar Kesempurnaan: Rahasia Hidup Tenang ala Jepang,"Aug 5, 2026",6710,2753,"1770,2158",9,"90469,828",30643,"7,2"
6AwX3gTxEQ4,Rahasia 4 Huruf dalam Kata NIKAH #shorts,"Aug 8, 2026",64,2357,"21,1068",3,"415,219",503,"5,96"
_ghy4zS1iBE,Spiritualitas Pernikahan: Mengapa Menikah Bukan Sekadar Mencari Bahagia,"Jul 22, 2026",6676,1845,"1140,7359",8,"19221,144",23900,"5,63"
86Ft0Trf4wk,Sultan Agung: Rahasia Hidup Tenang di Tengah Kekuasaan,"Aug 7, 2026",5971,1733,"1138,0662",5,"45969,471",19462,"7,16"
sKmMJ8zgWRE,Aku Mencintaimu — Karena atau Meskipun? #shorts,"Aug 6, 2026",58,1718,"12,3761",6,"289,378",586,"4,95"
J6CbnJnduX0,Imam Ghazali: Kenapa Pernikahan Sering Gagal?,"Jul 10, 2026",7186,1651,"866,5123",6,"40785,535",16535,"7,38"
l4d21V0W5HM,Cara Tetap Waras di Zaman Edan #shorts,"Jul 28, 2026",72,1457,"16,0488",3,"5952,892",546,"4,95"
wa4daKp7WYU,Kenapa Ibadahmu Tak Membuatmu Tenang? Imam Ghazali Menjawab,"Aug 9, 2026",6435,1445,"732,8698",3,"27595,516",19427,"6,15"
F_Y8S1XOlbc,Lelah dengan Kebisingan Dunia? Sedikit yang Cukup Ternyata Menyelamatkanmu,"Jul 2, 2026",6590,1439,"1050,5976",1,"50898,527",9661,"11,28"
YTIViliG8pc,Kenapa Kamu Nggak Bahagia? #shots,"Aug 10, 2026",49,1382,"4,5718",1,"228,646",304,"5,26"
SmWFivyBOPM,RAHASIA ILMU LADUNI: Cara Al-Ghazali Mendapat Pengetahuan Langsung dari Allah – Dr. Fahruddin Faiz,"Nov 7, 2025",7009,1213,"623,8103",7,"21441,942",13639,"6,48"
uinV-zuAi-A,Kenapa Peradaban Selalu Jatuh? Falsafah Cokro Manggilingan Menjawab,"Aug 14, 2026",7173,1030,"728,9352",1,"39061,182",11788,"7,24"
fj67JqImG60,Ojo Dumeh: Kenapa Kamu Harus Berhenti Merasa Paling Benar? #shorts,"Jul 25, 2026",64,1021,"8,7629",1,"172,988",506,"3,36"
gmxd3x5ZGvU,Melihat Tuhan Lewat Pasangan Hidup #shorts,"Jul 20, 2026",65,924,"7,6451",1,"173,204",640,"8,44"
A1HgwW7pBf4,Hidupmu Berharga Karena Apa? #shots,"Aug 1, 2026",56,914,"5,4744",0,"121,39",519,"5,39"
tKvL-saonmA,Law of Attraction: Rahasia Kekuatan Batin untuk Mengubah Hidup – Dr. Fahruddin Faiz,"Jul 11, 2025",7091,890,"421,8952",4,"25459,877",8733,"7,11"
E0kjAhe7OAY,Rahasia Kakek Penyapu Halaman #shots,"Aug 13, 2026",55,855,"6,7067",0,"146,65",224,"7,14"
ktNspKaMuq8,Matikan Egomu Sebelum Cintamu Rusak #shorts,"Jul 21, 2026",61,830,"6,9413",2,"160,055",549,"6,01"
V_pP8L-ftQI,Zarathustra: Nabi yang Dihapus Sejarah atau Mitos yang Disalahpahami?  – Dr. Fahruddin Faiz,"Jan 16, 2026",6978,806,"448,1617",8,"15021,883",7240,"7,82"
Qk_m4qAOJN0,Rahasia Hidup Tenang Tanpa Iri Dengki #shorts,"Aug 11, 2026",131,722,"12,3545",2,"145,402",453,"5,08"
lZkdM_eJuWw,Sendiri Tapi Kuat: Rahasia Jiwa yang Tak Banyak Orang Tahu – Dr. Fahruddin Faiz,"Apr 26, 2025",3357,672,"192,0578",1,"13898,093",6770,"7,22"
UOy0kj5LBfQ,Siapa Guru Sejati? Ini Wejangan Sunan Bonang – Dr. Fahruddin Faiz,"Jun 15, 2025",27,568,"3,3244",2,"80,571",2295,"3,75"
yp7A6BMtFFw,Kamu Belum Hidup — Karena Belum “Mati”  — Hikmah Syekh Arsyad Al-Banjari,"Feb 21, 2026",7157,495,"280,6199",4,"8411,884",4132,"7,94"
yiI_liv6O_o,Eksistensialisme: Menikah Untuk Lari Dari Sepi Justru Membuat Semakin Kosong – Dr. Fahruddin Faiz,"Jul 9, 2026",5995,488,"323,4661",0,"14106,124",4308,"7,43"
elH1GIL1Zho,Imam Ghazali: Musuh Terbesar Hidupmu Ternyata Dirimu Sendiri – Dr. Fahruddin Faiz,"Jun 21, 2026",6933,419,"362,3971",0,"18355,396",2123,"12,39"
atfEY-k6Bks,Pernikahan Bukan Cuma Soal Bahagia #shorts,"Aug 3, 2026",62,414,"1,1565",1,"41,868",284,"4,23"
cNqmUgNSS0U,"Satu Sakit, Lima Sembuh #shorts","Jul 30, 2026",79,399,"3,8145",0,"92,007",348,"4,6"
0La-Jb2GI3Q,Rahasia Gajah Mada: Jabatan Itu Musibah atau Anugerah?,"Jul 12, 2026",6705,391,"253,2375",1,"7774,597",3440,"7,15"
9rUX9c_LBhw,Benarkah Kita Sebenarnya “Tiada”? Penjelasan Ibnu Arabi,"Feb 28, 2026",7094,344,"186,0346",1,"8057,873",2529,"9,25"
vFCNhPTEh9g,Ibnu Atha’illah: Mahabbatullah & Jalan Ketenangan Hati – Dr. Fahruddin Faiz,"Sep 12, 2025",6329,307,"176,6607",1,"4914,351",1994,"12,39"
8Hgw9bSOXkM,Krishna Nabi atau Bukan? Pertanyaan Berani yang Jarang Dibahas Ulama,"Feb 14, 2026",6872,277,"152,701",2,"5401,414",2543,"7,94"
AE2Jbsb-8VA,Filsafat Puasa Gandhi: Lapar yang Jadi Senjata Perlawanan Tanpa Kekerasan – Dr. Fahruddin Faiz,"Sep 1, 2025",5708,276,"93,9418",5,"3803,646",1593,"15,38"
DtJlIwfR7oQ,Matikan Egomu Sebelum Hidupmu Dipenuhi Penyesalan,"Jun 24, 2026",5922,255,"177,3275",2,"6966,52",1396,"11,39"
nOCtv9EACqg,Makna dan Tujuan Hidup: Obat dari Kekosongan Eksistensial – Dr. Fahruddin Faiz,"Oct 22, 2025",6361,244,"170,2881",0,"5475,839",1255,"11,31"
Y8eP1ZG-a7s,Kenapa Menang Debat Bisa Kehilangan Cinta? #shorts,"Jul 23, 2026",75,222,"2,8086",0,"11094,646",458,"4,8"
4D5FOjG9RRk,Apakah Sains Membuat Kita Kehilangan Makna Hidup?,"Dec 29, 2025",7400,220,"164,8731",0,"4915,99",1554,11
OspCCNbeJns,Ibnu Sina: Saat Pikiran Melukai Tubuh | Dr. Faiz,"Jun 5, 2026",6356,219,"166,4669",1,"8890,425",1185,"12,83"
NM8RYhIbgog,Mengapa Orang Saleh Justru Paling Tenang? 3 Rahasia Sufi Imam Hasan Al-Bashri - Dr. Fahruddin Faiz,"Dec 26, 2025",6014,208,"137,4764",3,"4507,62",1467,"8,86"
OCBriiNeDcg,"Dihormati Dunia, Tapi Memilih Jalan Sunyi — Hikmah Hidup Syekh Nawawi Al-Bantani","Feb 6, 2026",6566,198,"111,6074",0,"3068,24",1367,"8,41"
8X-RM4SFkNs,Kamu Hanya Mencintai Versi Lamanya #shorts,"Aug 4, 2026",51,196,"0,6853",1,"18,239",337,"4,45"
Rr5FGBbU3_o,Kamu Salah Paham Soal Ikigai #shots,"Aug 15, 2026",56,187,"0,4851",0,"33,23",327,"2,14"
hKPGwBEJCd8,Tan Malaka: “Indonesia Belum Merdeka!” Ucapan yang Mengguncang Sejarah – Fahruddin Faiz,"Aug 4, 2025",6179,182,"74,136",1,"3228,955",1490,"8,39"
oei_Jw9XKNs,Filosofi Timur: Penyebab Masalah Hidupmu Terus Mengulang Ternyata Ketidaksadaranmu,"Jun 26, 2026",6176,180,"107,9495",0,"3228,123",1149,"8,96"
wtY_vNmt2iI,"Bukunya Dibakar, Ajarannya Dilarang — Siapa Takut Hamzah al-Fansuri?","Feb 20, 2026",6622,174,"84,6102",0,"3425,081",1640,"6,95"
4iZHxoiq8xM,"Hidup Itu Mudah, Tapi Pikiran Kita Ribet! – Dr. Fahruddin Faiz","Apr 14, 2025",1611,165,"34,1294",2,"2246,684",1356,"5,83"
CiG2nHB3VvI,Reset Hidup ala Syekh Muhammad al-Ghazali: Rahasia Bahagia Sejati – Dr. Fahruddin Faiz,"Sep 5, 2025",6417,162,"106,9047",0,"4228,259",1041,"8,84"
-K-2ukv-eyE,RAHASIA AKHLAK NABI: Cara Menjadi Pribadi Agung seperti Rasulullah SAW – Dr. Fahruddin Faiz,"Nov 21, 2025",6827,157,"75,3449",0,"2012,123",891,"10,77"
5LzlHRH-P7M,Syukur: Jalan Sunyi Menuju Ketenteraman Batin – Dr. Fahruddin Faiz,"Apr 20, 2025",2131,147,"28,0862",1,"1797,713",1176,"7,91"
xAeP_rXTRiQ,Bebas dari yang Dikenal: Mengapa Hidup Kita Tidak Orisinil? Jiddu Krishnamurti – Dr. Fahruddin Faiz,"Jul 28, 2025",6538,142,"80,441",0,"1609,766",830,"10,36"
qW4FjmrJXf0,Filosofi Jabatan Gajah Mada #shorts,"Jul 18, 2026",65,139,"0,9116",0,"26,685",260,"1,92"
tXf38ki3N0w,Filsafat Cahaya yang Membuatnya Dieksekusi — Kisah Suhrawardi Al-Maqtul,"Feb 19, 2026",7000,128,"73,5895",0,"1859,728",772,"11,14"
pptq4g_4--U,Ciri Suara Hati Nurani yang Sering Kita Abaikan – Dr. Fahruddin Faiz,"Jun 17, 2025",42,127,"0,8966",0,"22,17",1595,"2,45"
UORg11m_Z3E,Setan & Hewan dalam Dirimu — Harus Dimatikan atau Dikendalikan?,"Mar 18, 2026",7098,115,"86,5204",0,"2991,474",675,"8,44"
ATPDYC2U38U,Rasa Hampa Itu Teguran — Tapi Kamu Terus Mengabaikannya,"Apr 9, 2026",6186,115,"40,6296",0,"722,817",398,"4,02"
_6odXfcSF2Y,Penyakit Ini Ada Dalam Dirimu — Kata Sunan Bonang Paling Sulit Disembuhkan,"Feb 13, 2026",7269,113,"91,8762",0,"2646,892",635,"11,81"
WDUBkz3yo34,Nur & Nalar: Mengapa Akal Tanpa Cahaya Ilahi Tak Pernah Cukup? – Dr. Fahruddin Faiz,"Aug 29, 2025",6766,110,"94,1614",0,"2102,042",622,"11,41"
8wF27cyWJjk,Rahasia Tergelap Sufi: Mengapa Rabi’ah Menolak Surga & Neraka? – Dr. Fahruddin Faiz,"Dec 12, 2025",6049,106,"57,8808",0,"4235,843",670,"10,75"
lnZYBpgRkZ8,Usia Hanya Angka: Rahasia Jiwa yang Tak Pernah Menua – Dr. Fahruddin Faiz,"Oct 17, 2025",6495,102,"72,8633",0,"1322,932",699,"7,87"
DroF80vgbxA,Kamu Lelah Bukan Karena Dunia—Tapi Karena Kamu Tidak Bisa Melepaskannya,"May 15, 2026",6289,96,"67,855",0,"3164,481",516,"12,6"
FNgAgTF14ME,Kenapa Pendosa Justru Lebih Dicintai Allah?,"Apr 16, 2026",6189,93,"47,174",0,"1057,886",640,"4,84"
wGQIBfQebpc,Patah Hati & Obat Sufi: Rahasia Menyembuhkan Luka Jiwa – Dr. Fahruddin Faiz,"Aug 15, 2025",6745,87,"62,3329",0,"3920,4",782,"8,06"
PThDgdDniho,Kenapa Kita Takut Dianggap Aneh? Michel Foucault Menjawab,"Jul 1, 2026",5863,85,"60,443",1,"2459,712",873,"6,76"
xdHC4GS395o,Urip Iku Mampir Ngombe: Kenapa Dunia Bukan Tujuan Akhir?,"Jul 16, 2026",74,82,"1,7872",0,"24,16",179,"2,23"
9y48rso40So,Tua Tapi Tetap Bahagia?Ini 3 Kunci Keberuntungan Hidup – Dr. Fahruddin Faiz,"Apr 16, 2025",1414,82,"18,5939",0,"1583,931",695,"3,31"
T7gYUMgsDd4,Rusak Tanpa Sadar #shorts,"Jul 13, 2026",47,82,"0,4936",0,"15,838",104,"2,88"
1UoMoM55Ufg,Prasangka Diam-Diam Menghancurkan Hidupmu — Sadari Sebelum Terlambat!,"Aug 13, 2025",7147,76,"55,883",0,"2570,435",386,"11,4"
7-5SYLpfS0I,Jangan-Jangan Kamu Tertipu Amalmu Sendiri — Peringatan Imam Al-Ghazali,"Mar 6, 2026",6411,76,"45,4858",0,"1001,862",659,"8,35"
PI_S3GFZ8n0,Benarkah Zaman Edan Sudah Tiba? Ronggowarsito Mengungkap Kebenarannya! – Dr. Fahruddin Faiz,"May 18, 2025",2497,74,"21,2153",0,"593,571",864,"5,09"
J122zpRINjc,Saat Pikiran Tak Pernah Diam — Apakah Ini Masalah Mental atau Jiwa?  – Dr. Fahruddin Faiz,"Jan 22, 2026",5368,72,"34,6062",0,"1339,41",397,"8,31"
Fl-HHv21Ens,Sutan Takdir: Kamu Mandek Bukan Karena Gagal—Tapi Takut Memulai,"Jun 28, 2026",6689,70,"56,2519",1,"1053,676",865,"6,47"
sFvT0_jm-Nw,Takut Salah Pilih #shorts,"Jul 14, 2026",29,69,"0,2989",0,"12,717",168,"4,76"
1-Q1IQaip1g,Resiliensi Diri: Tetap Kuat di Tengah Hidup Penuh Ketidakpastian – Dr. Fahruddin Faiz,"Oct 13, 2025",6350,69,"47,1495",0,"2611,814",484,"9,5"
rxlohIdRDHo,Kenapa Bung Karno Mengkritik “Islam Sontoloyo”? Banyak yang Salah Paham,"Apr 12, 2026",6974,68,"24,4879",0,"342,246",560,"6,96"
sRpOBmixJC8,"Bebas Itu Pilihan! Latihlah Dirimu Melepas Beban, Hidup Jadi Lebih Ringan","May 12, 2026",6749,65,"43,3374",0,"2088,262",402,"9,7"
pSfQWtuzqVg,Rumus Sederhana Hidup Tenang – Dr. Fahruddin Faiz | Suara Filsuf,"May 5, 2025",60,62,"0,4172",0,"13,101",281,"4,63"
9cud-T3SuC0,"Sun Tzu: Perhatian Kita Terlihat Bebas, Padahal Sedang Dikendalikan – Dr. Fahruddin Faiz","Jun 19, 2026",6681,60,"45,7262",0,"1624,805",498,"7,43"
lWYtYFiDoJQ,Banyak Orang Salah Jalan — Jangan Masuk Tasawuf Sebelum Tahu Ini — Syekh Abdus-Samad al-Falimbani,"Feb 7, 2026",7125,57,"31,3072",0,"534,462",436,"8,26"
AAdYkCM-es0,Konfusius: Stop Menyalahkan Orang Lain! Pelajaran Hidup yang Mengubah Segalanya – Dr. Fahruddin Faiz,"Sep 10, 2025",6436,56,"40,6119",0,"3195,135",523,"8,03"
sI3NIt9VZ5M,Kenapa Kita Sering Cemas? Imam Ghazali Menjawab,"Apr 23, 2026",6244,56,"46,0015",0,"2833,952",381,"6,04"
annICPwf6yg,"RAHASIA RUMI TERUNGKAP: Dunia Hanya Kulit, Cinta adalah INTI DIRI MANUSIA! – Dr. Fahruddin Faiz","Dec 19, 2025",6917,54,"25,6666",0,"816,893",342,"11,99"
rp1ADKJDXVk,Hidup Terasa Berat? Stoikisme Punya Jawabannya – Dr. Fahruddin Faiz,"Jun 12, 2025",106,54,"1,4815",0,"8,809",254,"6,3"
r5a6etM2vCE,Sadar Diri Itu Kunci: Kita Hanyalah Manusia Biasa – Dr. Fahruddin Faiz | Suara Filsuf,"May 23, 2025",61,54,"0,2871",0,"8,944",286,"2,45"
L2r0Cwyc5nA,"Hidup Terlalu Berat? Rahasia Logoterapi, Tetap Bermakna di Tengah Penderitaan – Dr. Fahruddin Faiz","Oct 15, 2025",7405,53,"28,7473",0,"1560,044",393,"9,41"
gVE_AwaVgXw,Menikah: Kehilangan Kebebasan atau Menemukan Arah? #shorts,"Jul 8, 2026",57,52,"0,4699",0,"7,926",98,"7,14"
bFpVDwuwhPo,FILSAFAT KENABIAN:Mengapa Allah Mengutus Nabi? Akal Manusia Ternyata Tak Cukup! – Dr. Fahruddin Faiz,"Nov 28, 2025",6763,51,"30,5591",1,"1478,068",388,"8,51"
aXUjn_O5KwE,Lelah Tapi Tak Tahu Kenapa? Rahasia Burnout di Era ‘You Can’ – Dr. Fahruddin Faiz,"Oct 8, 2025",5896,50,"29,0994",0,"1704,046",322,"13,35"
YulSY730qR0,Nashiruddin at-Thusi: Perjalanan Menuju Allah – Bekal & Senjata Spiritualmu! | Dr. Fahruddin Faiz,"Jul 30, 2025",6679,46,"39,4767",1,"766,739",336,"10,71"
P8elJCe8kbc,Al-Asy’ari: Hidupmu Sudah Ditentukan… Lalu Buat Apa Berusaha?,"Jun 3, 2026",6617,45,"22,3654",0,"1285,633",336,"7,14"
wuhKJXBpZuw,Bahagia ala Stoik: Nasihat Bijak Marcus Aurelius | Dr. Fahruddin Faiz,"Jun 10, 2025",89,45,"0,424",0,"8,863",160,"3,75"
OnpgO_Zr_vk,Mengapa Kita Sulit Tenang? Ini Jawaban yang Tidak Nyaman,"Mar 19, 2026",6608,44,"30,2918",0,"342,358",157,"14,65"
JrgvmRawzX0,Imam Ghazali: Mengapa Jiwamu Terasa Kosong Padahal Usiamu Kian Dewasa?,"Jun 14, 2026",6229,44,"27,1891",0,"832,898",352,"9,38"
vvGgLL_59Gw,Mulla Sadra: Benarkah Pikiranmu Menentukan Nasibmu di Akhirat?,"Apr 30, 2026",6753,42,"19,0257",0,"228,412",305,"5,9"
MSKWKOfeYuw,Santo Agustinus: Cara Mengakhiri Perang di Dalam Pikiranmu – Dr. Fahruddin Faiz,"Jun 17, 2026",6635,41,"22,5589",0,"587,028",562,"3,91"
xuQYFwm6y9M,Cara Bijak Menghadapi Orang Jahat & Tak Tahu Malu – Dr. Fahruddin Faiz,"Jun 3, 2025",135,40,"0,4537",0,"10,454",160,"7,5"
aXDgTeBzQQU,Sedulur Papat Limo Pancer: Rahasia Jiwa Manusia – Dr. Fahruddin Faiz,"Jun 23, 2025",95,38,"1,3069",0,"4,329",177,"2,82"
2vZiYXOxvu8,Hakikat Manusia yang Benar-Benar Manusia – Dr. Fahruddin Faiz,"Oct 7, 2025",60,37,"0,3665",0,"6,42",160,"3,75"
EW6b0UbUTIs,Kenapa Angka Bisa Membuat Kita Merasa Alam Semesta Punya Makna? – Dr. Fahruddin Faiz,"Jan 5, 2026",6547,36,"17,8176",0,"1204,914",353,"7,37"
oMye_bOh62Y,"Cuma 1 Cara agar Hatimu Tetap Tenang, Kapan pun & Di Mana pun – Dr. Fahruddin Faiz","Apr 22, 2025",2279,35,"7,4177",0,"376,602",291,"7,9"
dQX4newpgjI,Dekat Tapi Tetap Berjarak #shorts,"Jul 11, 2026",65,34,"0,1811",0,"16,018",100,1
oQEIpf__V_M,Sukses Tapi Batin Kosong #shorts,"Jun 16, 2026",63,33,"0,2543",0,"8,048",120,"8,33"
ykEOnMSZRfU,Hidup Saja Tak Cukup: Mengapa Kita Harus Terjaga (Yaqdhan)? – Dr. Fahruddin Faiz,"Aug 20, 2025",7261,33,"28,431",0,"1745,114",198,"9,09"
bGvjZfZE7is,Erich Fromm: Mengapa Kita Merasa Asing dan Sepi di Dunia yang Ramai? – Dr. Fahruddin Faiz,"Jun 7, 2026",6528,33,"20,3399",0,"418,426",357,"7,28"
nz__TrBzzmY,Mengapa Hidup Terasa Begitu Berat?,"May 27, 2026",4251,33,"15,4546",0,"306,373",303,"4,95"
G5Ra4fF6-VE,Kamu Lelah Karena Selama Ini Mengejar Hal yang Salah,"May 14, 2026",6679,32,"16,2339",0,"113,704",301,"5,32"
yfKFKMvi6-E,Bangun Mental Baja! Kekuatan Filsafat untuk Hidup Penuh Percaya Diri – Dr. Fahruddin Faiz,"Apr 21, 2025",1594,32,"5,7167",1,"360,799",288,"8,68"
EQq3qrCz4LI,Ramai Tapi Sepi #shorts,"Jun 25, 2026",50,31,"0,1943",0,"12,619",121,"7,44"
6cbT8wGZb78,BERHENTI JADI DOMBA! Rahasia Mengendalikan Herd Mentality di Era Digital – Dr. Fahruddin Faiz,"Oct 20, 2025",6237,30,"19,6757",0,"921,755",167,"13,17"
khfWw3kaKT8,Bukan Soal Pintar! Rahasia Psikologi Uang ala Morgan Housel – Dr. Fahruddin Faiz,"Aug 17, 2025",6452,29,"15,1892",0,"337,479",206,"11,17"
0eo-lNU6hr4,Ibadah Terasa Kosong: Kurang Amal atau Salah Kesadaran? – Dr. Fahruddin Faiz,"Jan 23, 2026",5549,29,"12,5596",0,"678,534",229,"6,55"
koXuaoQerr4,Kecerdasan Spiritual: Rahasia di Balik Hidup yang Penuh Makna – Dr. Fahruddin Faiz,"Aug 8, 2025",5839,28,"15,4982",1,"1075,414",176,"8,52"
CYC0e08mq58,STOP MERASA HAMPA! Temukan Akar Krisis Spiritual & Jalan Kembali ke Makna Hidup – Dr. Fahruddin Faiz,"Nov 3, 2025",6155,28,"6,8457",0,"481,211",271,"4,8"
czmJJykw-O0,5 Kunci Mengalahkan Ego untuk Hidup Tenang & Sehat Secara Spiritual – Dr. Fahruddin Faiz,"Oct 24, 2025",4361,27,"7,9503",1,"277,522",248,"6,45"
1IkwOLBXk5U,Kunci Hidup Tenang ala Filsafat Stoik – Dr. Fahruddin Faiz | Suara Filsuf,"May 3, 2025",48,27,"0,1128",0,"4,318",171,"0,58"
Uo8Wn1KoqTE,Masih Cinta tapi Lelah — Salah Hubungannya atau Cara Mencintaimu? – Dr. Fahruddin Faiz,"Jan 29, 2026",6624,26,"15,5052",0,"2169,073",188,"7,45"
9PNoB1uvWGM,Mursyid: Penuntun Jalan Batin dan Spiritual – Dr. Fahruddin Faiz,"Jul 3, 2025",4150,26,"12,903",0,"403,586",209,"6,7"
0Ifl8ULyCu4,Kamu Bukan Gak Laku #shorts,"Jun 27, 2026",50,25,"0,1445",0,"7,973",99,"9,09"
eoKRgpLSSqU,"Takut Sendirian, Pasti Kesepian - Dr. Fahruddin Faiz | Suara Filsuf","May 17, 2025",35,25,"0,088",0,"6,504",217,"3,69"
aqYQaGTUiFc,Apakah Peradaban Barat Akan Runtuh? Teori Spengler,"Mar 25, 2026",6581,25,"8,7821",1,"162,214",223,"3,59"
RAl6b-OLhWU,Jangan Cari Bahagia di Pernikahan #shorts,"Jun 30, 2026",58,24,"1,084",0,"5,218",58,"6,9"
7gM1z3Lqq-Y,Menua Bahagia: Rahasia Hidup Tenang di Usia Senja – Dr. Fahruddin Faiz,"Oct 6, 2025",6410,24,"16,2024",0,"1032,207",171,"10,53"
LDODbKcE7gc,Cinta kepada Allah: Rahasia Bahagia Sejati – Dr. Fahruddin Faiz,"Sep 19, 2025",6789,24,"15,919",0,"419,764",135,"14,81"
OmB57FOpWOM,Makna Sedulur Papat Limo Pancer – Siapa Dirimu Sebenarnya?,"Jun 27, 2025",176,24,"0,3531",0,"3,427",157,"0,64"
xQ0ZCjupvPI,"Makna Asli ""Menyiksa Diri"" Agar Tidak Manja #shorts","May 19, 2026",65,23,"0,2349",0,"4,045",147,"8,16"
Pv235sqsq9g,Kenali Keunikanmu: Mengapa Kamu Berbeda dari Semua Orang? – Dr. Fahruddin Faiz,"Nov 12, 2025",6600,23,"30,6451",0,"810,235",97,"6,19"
364ZQ1u92aM,Tanda Imanmu Kuat: Tidak Mudah Panik! #shorts,"Jun 13, 2026",35,22,"0,1252",0,"6,076",28,"3,57"
G_LHhMWy_RQ,Itu Belum Cinta #shorts,"Jul 4, 2026",60,22,"0,1089",0,"7,317",36,"11,11"
gt7dBCg57SM,Setiap Orang Punya Perangnya #shorts,"Jun 18, 2026",44,22,"0,1208",0,"6,965",12,0
1tB76qa_QUI,Ziauddin Sardar: Hidup di Zaman Kekacauan & Post-Normal Times – Dr. Fahruddin Faiz,"Sep 24, 2025",6113,22,"21,7203",0,"887,923",153,"11,11"
EybaKxfIpNI,"Kita Mengaku Pancasila, Tapi Mengapa Hidup Kita Saling Melukai? – Dr. Fahruddin Faiz","May 10, 2026",4852,22,"5,8551",0,"253,615",207,"6,76"
W_b16U9IXy4,10 Wejangan Sunan Kalijaga: Cara Menang Tanpa Pasukan & Kaya Tanpa Harta – Dr. Fahruddin Faiz,"Oct 29, 2025",7309,22,"13,7757",0,"218,225",151,"6,62"
3WE9d673LXM,Ulama Ini Mengubah Cara Orang Mendekat pada Tuhan — Hikmah Kiai Sholeh Darat As-Samarani,"Feb 12, 2026",7109,22,"9,593",0,"110,563",146,"10,96"
iQDo9PoqQcw,Kenapa Batinmu Burn Out #shorts,"Jun 23, 2026",52,21,"0,1342",0,"2,822",65,"7,69"
Mu_6diZ285k,Rahasia Hidup Sederhana: Jalan Asketisisme yang Membawa Kedamaian – Dr. Fahruddin Faiz,"Sep 29, 2025",6252,21,"13,0295",0,"168,729",306,"5,23"
qZPAQr2M73U,Waskito: Ketajaman Batin yang Tak Bisa Dibohongi,"Jun 26, 2025",88,20,"0,3725",0,"3,426",76,"5,26"
Bn3jULfnFw8,4 Krisis Manusia Modern: Mengapa Kita Hampa dan Kehilangan Jati Diri – Dr. Fahruddin Faiz,"Nov 5, 2025",6494,20,"8,8822",1,"979,847",146,"7,53"
i60i0P5W1Lc,"Kita Mengaku Rasional, Tapi Mengapa Takut Mengkritik Ilmu? – Dr. Fahruddin Faiz","Jan 7, 2026",6578,20,"20,6067",0,"201,37",136,"8,82"
Y4yZijGWrrU,"Cinta Dulu, atau Komitmen Dulu? #shorts","Jul 5, 2026",68,19,"0,1942",0,"4,649",32,"6,25"
OApdwmPZc3Q,Filsafat Kebebasan: Berhenti Jadi “BUDAK PATUH” dan Ikuti Suara Hatimu – Dr. Fahruddin Faiz,"Nov 24, 2025",6551,19,"4,8762",0,"212,773",233,"5,58"
ySCI-AXLxek,Kenapa Hidup Terasa Kosong dan Membosankan?,"May 20, 2026",6209,19,"6,8217",0,"241,409",218,"5,05"
68-BosDy2y4,"Bukan Kurang Cinta, Tapi Salah Arah #shorts","Jul 7, 2026",70,19,"0,1434",0,"5,243",55,"9,09"
