Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (IDR),Impressions,Impressions click-through rate (%)
GVCEyRUab3E,"Hidup yang Tak Diuji, Tak Punya Nilai – Dr. Fahruddin Faiz","Jul 24, 2025",108,4,"0,0127",0,"1,951",14,0
ml_dWpZtHUA,Kenapa Doa Kita Tak Selalu Dikabulkan? Ini Jawabannya! – Dr. Fahruddin Faiz,"May 13, 2025",2767,4,"0,291",0,"2,469",57,"5,26"
TgNLpMdsVUs,Kenapa Kita Harus Ngaji Filsafat? – Dr. Fahruddin Faiz,"Aug 23, 2025",56,4,"0,0089",0,"0,609",17,0
jU67HuwksWs,Filsafat Yin Yang: Kunci Hidup Bahagia dan Mengalir – Dr. Fahruddin Faiz,"May 30, 2025",3101,4,"2,2977",0,"77,91",71,"1,41"
UQmPrY_4d5A,Mental Kaya Bukan Soal Uang – Dr. Fahruddin Faiz | Suara Filsuf,"May 2, 2025",49,4,"0,0066",0,"0,648",44,0
dzmZ4xsBkr8,Banyak Orang Depresi Karena Tidak Tahu Makna Hidup – Dr. Fahruddin Faiz,"Oct 21, 2025",57,4,"0,0375",0,"0,324",7,"14,29"
Q3bfNYMXfa0,Amalmu Butuh Ikhlas #shorts,"Jun 3, 2026",56,4,"0,0198",0,"0,341",13,0
lZ1hYZPHUQc,Hakikat Meniti Jalan Kembali – Dr. Fahruddin Faiz,"Oct 4, 2025",80,4,"0,0428",0,"0,645",16,"6,25"
OtXQRzyzMoQ,Zuhud Bukan Berarti Harus Miskin! #shorts,"May 17, 2026",51,4,"0,056",0,"0,631",10,10
qwGz7lAeCeI,Jangan Percaya Dirimu Sendiri — Kamu Lebih Egois dari yang Kamu Kira,"Apr 8, 2026",6296,4,"1,7686",0,"238,909",198,"1,52"
g4aXmvbFnMY,"Saat Berniat Memperbaiki Dunia, Mengapa Kita Justru Merusaknya? – Dr. Fahruddin Faiz","Dec 17, 2025",7213,4,"2,0417",0,"131,144",87,"4,6"
BsDJhS-nl50,"Kaya, Miskin, Terpelajar — Rasanya Sama – Dr. Fahruddin Faiz","Apr 25, 2025",30,4,"0,01",0,"0,624",22,"9,09"
H9Sl3KIB6Vw,Hidup Terasa Capek Padahal Tidak Berat — Ada yang Salah dengan Cara Kita Hidup — Dr. Fahruddin Faiz,"Dec 31, 2025",4030,3,"0,0214",0,"1,496",82,"3,66"
wVXgJXOMajE,"Percaya Diri Itu Penting, Tapi Jangan Sampai Jadi Sombong – Dr. Fahruddin Faiz","May 20, 2025",75,3,"0,0246",0,"0,609",28,0
t5OGPAx6Sxo,Perbedaan Minimalis dan Asketisme (Zuhud) #shorts,"Jun 2, 2026",78,3,"0,0059",0,"0,341",17,0
vqBzSssS11U,Hidup Memang Tidak Pasti #shorts,"May 28, 2026",26,3,"0,0091",0,"0,305",33,0
9H3FhGV-ggc,Ternyata Proyek Terbesar Manusia Dimulai Sejak Bayi! – Pendidikan Montessori oleh Dr. Fahruddin Faiz,"Jul 23, 2025",6889,3,"0,079",0,"1,524",70,"1,43"
Yj6_PUwfNnU,Kenali Dirimu Sendiri: Filsafat Socrates untuk Hidup Modern – Dr. Fahruddin Faiz,"Jul 14, 2025",3442,3,"0,9601",0,,42,"4,76"
8RNsjQVpvfI,Mengapa Orang Pintar Pun Percaya Hoaks? Jawaban yang Tidak Nyaman – Dr. Fahruddin Faiz,"Jan 14, 2026",6715,3,"1,8673",0,"6,741",103,"0,97"
i5ykHIbNFGQ,Jangan Benci Dirimu Sendiri #shorts,"May 26, 2026",48,3,"0,0265",0,"6,113",7,0
g76_2J06BOM,Kenapa Disebut Al-Ikhlas? #shorts,"May 25, 2026",56,3,"0,0409",0,"3,056",6,0
xxK0HKMAP2w,Cinta Dunia Bisa Membawa ke Tuhan? Kisah Yusuf & Zulaikha,"Mar 11, 2026",6395,3,"3,2261",0,"3,497",89,"1,12"
ojJJg4JRJ1A,Benarkah Tokoh Besar Dunia Terhubung ke Ibrahim?,"Feb 17, 2026",85,3,"0,0265",0,"0,659",4,25
5nS63M-PkTE,"Cinta Itu Datang Sendiri, Kita Gak Bisa Atur","Jul 8, 2025",139,3,"0,0056",0,"0,627",11,"18,18"
oA5cAUJDZMc,"Tanpa Ini, Hidupmu Akan Kosong – Pesan Dr. Fahruddin Faiz","Jun 20, 2025",143,3,"0,0438",0,"0,608",17,"5,88"
6EVXJr1Pma0,"Semedi Itu Bukan Diam, Tapi Mendengar Hatimu Sendiri","Jul 2, 2025",43,3,"0,0014",0,,10,0
7DImmDYG-Pg,"Merasa Hampa: Masalah Mental, atau Gagal Menjadi Diri Sendiri? — Dr. Fahruddin Faiz","Jan 31, 2026",6726,3,"0,0034",0,"1,129",105,"0,95"
DLQaTlML7eg,Sudut Pandangmu Menentukan Hidupmu – Dr. Fahruddin Faiz,"May 10, 2025",35,3,"0,0142",0,"0,629",16,"6,25"
0WB1XcKadIA,"KIAMAT EKOLOGIS SUDAH DIMULAI: Bukan Alam yang Binasa, Tapi KITA yang Punah! – Dr. Fahruddin Faiz","Dec 1, 2025",5007,3,"0,1993",0,,73,0
zaoktLAp3iY,Menemukan Kedamaian Diri: Cara Mengatasi Takut dalam Kesendirian – Dr. Fahruddin Faiz,"Apr 28, 2025",2942,3,"0,3383",0,"1,612",71,"1,41"
FtnZPllByJ0,Kenapa Kita Sulit Mencintai Tuhan? Syekh Hafiz Menjawab,,6779,3,"2,2008",0,,43,"2,33"
9XC2y2jeu3w,Obat Hati Paling Mujarab: Qona’ah #shorts,"Jun 9, 2026",118,3,"0,0332",0,"0,341",12,0
EbZZafqQMR0,Seleh Roso: Saat Hati Belajar Pasrah – Dr. Fahruddin Faiz,"Jun 22, 2025",56,3,"0,0172",0,"0,649",49,0
fjPrq4liitM,"Hidup Kita Makin Mudah, Tapi Mengapa Kita Justru Kehilangan Diri? – Dr. Fahruddin Faiz","Dec 8, 2025",6193,3,"1,729",0,"68,48",39,"5,13"
DEaIvX3Mw24,"Mengapa Kita Merindukan Pemimpin yang Adil, Tapi Sulit Menemukannya Hari Ini? – Dr. Fahruddin Faiz","Sep 8, 2025",6215,3,"0,3671",0,,16,"6,25"
ISkN2WaCIrE,Kenapa Kita Sering Tidak Bahagia? Rahasia di Balik Ketidakbahagiaan Hidup – Dr. Fahruddin Faiz,"May 5, 2025",2459,3,"0,7269",0,"5,559",57,"1,75"
O4fNPhAJpgA,"Doamu Dikabulkan, Tapi Kamu Tak Menyadarinya – Dr. Fahruddin Faiz | Suara Filsuf","May 29, 2025",28,3,"0,0132",0,"0,649",17,"5,88"
BUfkwFx5y0U,Karamah Itu Ujian — Bukan Kesaktian yang Layak Dibanggakan,,5874,3,"2,5768",0,"3,557",3,"33,33"
FtheWjVQn6Q,Filsafat Cahaya yang Dibungkam—Apa yang Mereka Takutkan?,"Feb 27, 2026",6783,3,"0,3482",0,"9,468",65,"3,08"
cbGqnpn2P2c,Ibrahim ibn Adham: Suara Ini Membuat Seorang Sultan Meninggalkan Segalanya,"Apr 26, 2026",7387,2,"0,0068",0,,199,"1,01"
2coLUQTyN7k,"Terlalu Anti Negatifitas, Justru Jadi Tertekan – Dr. Fahruddin Faiz","Oct 16, 2025",160,2,"0,0005",0,,2,0
7E1KuC8yQSs,Tuhan dan Pikiran Manusia: Alat Pencari atau Penghalang? – Dr. Fahruddin Faiz,"Jan 9, 2026",2652,2,"0,0384",0,"10,128",95,"2,11"
O0SdZyPlf34,Bingung dengan Arah Hidupmu? Inilah Cara Menemukan Passion Sejati – Dr. Fahruddin Faiz,"May 2, 2025",1983,2,"0,7588",0,"59,247",48,"2,08"
MfMtkZjqUZg,Kunci Hidup Bahagia: Tahu Diri & Tahu Batas – Dr. Fahruddin Faiz,"Jul 1, 2025",2858,2,"0,0636",0,"10,526",13,"15,38"
TYJ1VmaNJiA,Eksploitasi Diri: Saat Kita Jadi Musuh bagi Diri Sendiri – Dr. Fahruddin Faiz,"Oct 9, 2025",108,2,"0,0265",0,"0,627",3,0
Sha4YsmLNGA,Ikhlas Bukan Sekadar Merelakan #shorts,"Jun 1, 2026",54,2,"0,004",0,"0,341",9,0
in9k8JECsA4,Cinta yang Tak Pernah Pergi - Dr. Fahruddin Faiz,"Apr 24, 2025",77,2,"0,0013",0,"0,613",73,"2,74"
srbr12C_x4Q,Rahasia Kekosongan: Cara Menjadi Tenang di Tengah Dunia yang Absurd,,6952,2,"2,3448",0,"4,165",55,"3,64"
C1CU_qTMuI4,Fitnah: Bahaya yang Tersembunyi – Dr. Fahruddin Faiz #Shorts,"Apr 13, 2025",72,2,"0,0124",0,,18,"11,11"
2tK_vvQPPes,Syukur: Kunci Bahagia yang Tak Terlihat #shorts,"Apr 9, 2025",42,2,"0,0072",0,"0,308",19,"5,26"
HDc8wQ0bcTc,Saat Luka Tidak Lagi Menang #shorts,"May 30, 2026",129,2,"0,036",0,"3,056",8,0
_f32d6P-OZI,Mengapa Pemimpin Zaman Sekarang Gagal? Sunan Gunung Jati Punya Jawabannya – Dr. Fahruddin Faiz,"Jan 2, 2026",7310,2,"0,0843",0,"0,878",85,"2,35"
tgZVjv2mr5E,Kenali Dirimu! Wejangan Socrates untuk Hidup Bijaksana – Dr. Fahruddin Faiz,"Jul 13, 2025",2811,2,"0,2539",0,,56,"1,79"
RWHR5Z6u4B8,Ingin Hidup Bahagia? Ini Tips dari Dr. Fahruddin Faiz!,"May 21, 2025",2755,2,"0,0113",0,,22,"4,55"
lEOYd7anBtM,Bahagia Itu Dimulai dari Penerimaan – Dr. Fahruddin Faiz | Suara Filsuf,"May 24, 2025",45,2,"0,0123",0,"0,288",17,0
FiF2QCzYsKw,Ganti Judul Lukamu #shorts,"May 27, 2026",78,2,"0,04",0,"3,056",7,0
gNNbInlg9AM,Kenapa Hidupmu Terasa Cemas & Hampa? Imam Ahmad Menjawab,"Aug 16, 2026",7184,2,"3,9939",0,"53,617",36,"2,78"
-UCy2njsp_E,Wedotomo: Mengapa Kita Rajin Beribadah Tapi Jiwa Tetap Hampa?,,5648,2,"1,5741",0,,34,"2,94"
wKX_emkEvzQ,Kenapa Kita Sering Cemas? Rabindranath Tagore Menjawab,,6603,2,"1,1217",0,,37,0
to3-5iLwS9U,"DEKENGAN PUSAT: Saat Semua Gagal, Hanya Allah yang Jadi Sandaran Terakhir – Dr. Fahruddin Faiz","Oct 31, 2025",6248,2,"1,7114",0,"49,99",56,0
nSOa41uqyuk,Cara Diam Mengalahkan Penghina #ngajifilsafat,"Feb 16, 2026",123,2,"0,0233",0,"0,644",8,0
pE28gepJnys,Hidupmu Panen dari Apa yang Kamu Tanam – Dr  Fahruddin Faiz,"May 29, 2025",3429,2,"0,7384",0,"3,653",31,"6,45"
3bs6hguvGeg,Nur Muhammad: Cahaya Awal Segala Cipta & Makna – Dr. Fahruddin Faiz,"Jun 26, 2025",5965,2,"1,1612",0,"49,754",38,"5,26"
JjsXYxsQ8TM,Komposisi Diri Ideal: Apa yang Harus Ada? – Dr. Fahruddin Faiz,"May 7, 2025",49,2,"0,0003",0,,8,0
xrY_XJbm2Oo,Mengapa Umat Terus Terpecah Meski Punya Iman yang Sama? – Dr. Fahruddin Faiz,"Nov 14, 2025",7273,2,"0,8819",0,"2,45",19,"10,53"
zzWWpa0U1OU,"Derita Bukan Kutukan, Tapi Jalan Kesadaran – Dr. Fahruddin Faiz","Jun 2, 2025",60,2,"0,0138",0,"0,626",23,0
XaChyl8SRZY,Hidup Apa Senangnya? #shorts,"May 28, 2026",116,2,"0,0601",0,"3,056",8,0
Eg_XYRCbG3k,Mengapa Banyak Orang Suka Menghakimi? | Suara Filsuf – Dr. Fahruddin Faiz,"Nov 6, 2025",56,1,"0,0002",0,,7,0
4JzaRT1g418,Filosofi Samurai: 7 Prinsip Bushido yang Bisa Mengubah Cara Hidupmu – Dr. Fahruddin Faiz,"Oct 5, 2025",6525,1,"0,0007",0,,54,"1,85"
bJR8bwrkP38,"Seringkali kita sibuk mencari teman yang 'menyenangkan', sampai lupa mencari teman yang 'membangun'.","Jul 6, 2026",15,1,"0,0006",0,,0,
AJzuQ6g2VSs,Masyarakat Efisien: Cerdas Tapi Kehilangan Jiwa – Dr. Fahruddin Faiz,"Oct 11, 2025",84,1,"0,0105",0,"0,305",3,0
eGN2v-v2AwU,Heroisme Itu Sudah Hilang Hari Ini #shorts,"May 3, 2026",28,1,"0,0022",0,"0,305",7,"14,29"
MN1HQRULszQ,"Ilmumu Cuma Wawasan, Bukan Amalan? – Dr. Fahruddin Faiz","Oct 18, 2025",98,1,"0,0004",0,,1,0
jKvnI7V6Vn0,Manusia dengan Karakter Syaithaniah – Dr. Fahruddin Faiz,"Oct 28, 2025",90,1,"0,0016",0,"0,305",1,0
Hz1ATDMcA2A,Kenapa Kita Mudah Marah & Saling Menyalahkan? Ini yang Diam-Diam Merusak Demokrasi,"Nov 10, 2025",5966,1,"0,0056",0,,18,"5,56"
l8R0zQorjGk,Kenapa Kita Selalu Ingin Dicintai? - Dr. Fahruddin Faiz,"Dec 27, 2025",63,1,"0,0002",0,,5,0
pAn97LZG3yU,Sulit Memaafkan Diri? Ini Makna Taubat yang Sebenarnya! – Dr. Fahruddin Faiz,"May 16, 2025",3335,1,"0,926",0,,24,0
1luJKnJfIJo,Nilai Bagus Tapi Jiwa Rusak? #shorts,,60,1,"0,0155",0,"0,325",1,0
DYCdzg2N_k8,Fatwa Hatimu: Petunjuk Terjernih dari Dalam Diri – Dr. Fahruddin Faiz,"Jun 19, 2025",162,1,"0,0073",1,"0,324",11,0
7uxfHRs25H8,Ciri Kamu Belum Kenal Dirimu – Dr. Fahruddin Faiz,"Jul 20, 2025",111,1,"0,0006",0,,3,0
NpUuyEq0ydk,KRISIS DUNIA DIMULAI DARI DIRI KITA! Sadarkah Kamu Jadi Bagian dari Kekacauan Ini?,"Nov 8, 2025",89,1,"0,0014",0,"0,305",3,"33,33"
gRfelaUGtv8,"Kelola Instingmu, Sebelum Hidupmu Jadi Masalah! – Dr. Fahruddin Faiz","Apr 29, 2025",2172,1,"0,5278",0,"12,183",71,0
3h5KO4psNq4,Self-Hatred: Mengapa Membenci Diri Sendiri Lebih Berbahaya dari Kesepian? – Dr. Fahruddin Faiz,"Sep 3, 2025",6981,1,"0,2007",0,"55,18",34,"2,94"
6-F3chwpSAY,Mengapa Kedekatan Tidak Selalu Menenangkan?,"Feb 1, 2026",63,1,"0,0175",0,"0,32",5,0
1-OseAZtMRk,"Haters Itu Refleksi Gratis, Jangan Disia-siakan – Dr. Fahruddin Faiz","Jul 22, 2025",50,1,"0,0017",0,"0,305",3,0
0r7a_u2B_mc,Mimpi vs Realita: Saatnya Melihat ke Dalam Diri – Dr. Fahruddin Faiz | Suara Filsuf,"Oct 30, 2025",84,1,"0,0016",0,"0,305",21,0
vNTIuoGkh6A,Kenapa Hidupmu Nggak Pernah Tenang?,"Feb 18, 2026",86,1,"0,0005",0,,6,0
y48YeiEXP2U,Saat Dunia Tak Lagi Menguasaimu — Insan Kamil,"Feb 21, 2026",107,1,"0,0043",0,"0,34",4,25
Wag-UeT7SEI,Hidup Bebas atau Tahu Batas? Filsafat Jawa yang Menyelamatkan – Dr. Fahruddin Faiz,"Jan 24, 2026",6006,1,"0,0035",0,"126,879",129,"0,78"
Ne_egWJbpeI,Rahasia Hidup Tentram & Bahagia Tanpa Ribet! – Dr. Fahruddin Faiz,"May 6, 2025",1391,1,"0,3879",0,"13,186",55,"1,82"
